Word|Definition|Sentence|Mnemonic|Tag
informal|非正式的；不拘礼节的；随便的；通俗的；日常使用的|The movie was quite informal.|联想记忆：结合语境多读多用！|Gaokao-Core
information|信息，资料；知识；情报；通知|This information helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
informative|教育性的，有益的；情报的；见闻广博的|The movie was quite informative.|联想记忆：结合语境多读多用！|Gaokao-Core
inhabitant|居民；居住者|This inhabitant helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
inherit|继承；遗传而得i. 成为继承人|They inherit together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
initial|词首大写字母最初的；字首的用姓名的首字母签名|The initial is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
inject|注入；注射|Don't injected your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
injection|注射；注射剂；充血；射入轨道|This injection helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
injure|伤害，损害|They injure together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
injury|伤害，损害；受伤处|She bought a new injury yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
ink|墨水，墨汁；油墨签署；涂墨水于|The ink is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
inn|客栈；旅馆i. 住旅馆|This inn helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
inner|内部内部的；内心的；精神的|This inner helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
innocent|天真的人；笨蛋无辜的；无罪的；无知的|This innocent helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
input|投入；输入电路输入；将…输入电脑|The input is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
inquire|i. 询问；查究；询价询问；查究；问明|They inquire together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
inquiry|探究；调查；质询|The inquiry is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
insect|昆虫；卑鄙的人|This insect helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
insecticide|杀虫剂|This insecticide helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
insert|插入物；管芯；镶块；刀片插入；嵌入|The insert is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
inside|少于；在…之内里面；内部；内情；内脏里面的；内部的；秘密的在里面|The inside is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
insist|i. 坚持，强调坚持，强调|He always insists on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
inspect|检查；视察；检阅i. 进行检查；进行视察|They inspect together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
inspire|激发；鼓舞；启示；产生；使生灵感|They inspire together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
install|安装；任命；安顿|He always installs on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
instance|实例；情况；建议举...为例|This instance helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
instant|瞬间；立即；片刻立即的；紧急的；紧迫的|The instant is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
instead|代替；反而；相反|She finished her homework instead.|联想记忆：结合语境多读多用！|Gaokao-Core
instinct|本能，直觉；天性充满着的|The instinct is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
institute|学会，协会；学院开始（调查）；制定；创立；提起（诉讼）|She bought a new institute yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
instruct|指导；通知；命令；教授|Don't instructed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
instruction|指令，命令；指示；教导；用法说明|This instruction helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
instrument|仪器；工具；乐器；手段；器械|The instrument is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
insult|侮辱；凌辱；无礼侮辱；辱骂；损害|This insult helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
insurance|保险；保险费；保险契约；赔偿金|She bought a new insurance yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
insure|确保，保证；给…保险i. 确保；投保|They insure together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
intellect|智力，理解力；知识分子；思维逻辑领悟力；智力高的人|The intellect is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
intelligence|智力；情报工作；情报机关；理解力；才智，智慧；天分|This intelligence helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
intelligent|智能的；聪明的；理解力强的|The movie was quite intelligent.|联想记忆：结合语境多读多用！|Gaokao-Core
intend|i. 有打算打算；想要；意指|He always intends on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
intention|意图；目的；意向；愈合|This intention helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
interest|兴趣，爱好；利息；趣味；同行使……感兴趣；引起……的关心；使……参与|The interest is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
interested|使…感兴趣（interest的过去分词）感兴趣的；有权益的；有成见的|The movie was quite interested.|联想记忆：结合语境多读多用！|Gaokao-Core
interesting|有趣的；引起兴趣的，令人关注的|The movie was quite interesting.|联想记忆：结合语境多读多用！|Gaokao-Core
intermediate|中间物；媒介中间的，中级的i. 起媒介作用|The intermediate is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
international|国际组织；国际体育比赛；外国居留者；国际股票国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的|She bought a new international yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
Internet||This Internet helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
interpret|i. 解释；翻译说明；口译|They interpret together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
interpreter|解释者；口译者；注释器|The interpreter is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
interrupt|中断中断；打断；插嘴；妨碍i. 打断；打扰|This interrupt helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
interval|间隔；间距；幕间休息|This interval helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
interview|接见，采访；面试，面谈采访；接见；对…进行面谈；对某人进行面试|She bought a new interview yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
into|到…里；深入…之中；成为…状况；进入到…之内|This into helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
introduce|介绍；引进；提出；采用|Don't introduceed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
intruder|侵入者；干扰者；妨碍者|This intruder helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
invade|侵略；侵袭；侵扰；涌入i. 侵略；侵入；侵袭；侵犯|He always invades on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
invent|发明；创造；虚构|They invent together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
invention|发明；发明物；虚构；发明才能|The invention is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
inventor|发明家； 发明人；创造者|She bought a new inventor yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
invest|i. 投资，入股；花钱买投资；覆盖；耗费；授予；包围|Don't invested your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
investigate|调查；研究|The investigate is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
investment|投资；投入；封锁|The investment is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
invisible|无形的，看不见的；无形的；不显眼的，暗藏的|It was a very invisible day.|联想记忆：结合语境多读多用！|Gaokao-Core
invitation|邀请；引诱；请帖；邀请函|This invitation helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
invite|邀请邀请，招待；招致|She bought a new invite yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
inviting|邀请（invite的ing形式）诱人的；有魅力的|The movie was quite inviting.|联想记忆：结合语境多读多用！|Gaokao-Core
involve|包含；牵涉；使陷于；潜心于|They involve together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
iron|熨斗；烙铁；坚强铁的；残酷的；刚强的熨；用铁铸成i. 熨衣；烫平|This iron helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
irregular|不规则物；不合规格的产品不规则的；无规律的；非正规的；不合法的|She bought a new irregular yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
island|岛；岛屿；安全岛；岛状物岛的孤立；使成岛状|The island is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
isolate|隔离种群使隔离；使孤立；使绝缘隔离的；孤立的i. 隔离；孤立|She bought a new isolate yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
issue|问题；流出；期号；发行物发行，发布；发给；放出，排出i. 发行；流出；造成…结果；传下|She bought a new issue yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
it|信息技术information technology意大利Italy；意大利的Italian|This it helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
item|条款，项目；一则；一件商品（或物品）又，同上记下；逐条列出|The item is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
its|它的|This its helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
itself|它自己；它本身|She bought a new itself yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
jacket|羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹给…穿夹克；给…装护套；给…包上护封；打|She bought a new jacket yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
jail|监狱；监牢；拘留所监禁；下狱|The jail is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
jam|果酱；拥挤；困境；扣篮使堵塞；挤进，使塞满；混杂；压碎i. 堵塞；轧住|She bought a new jam yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
jar|罐；广口瓶；震动；刺耳声i. 冲突；不一致；震惊；发刺耳声震动；刺激；使震动|The jar is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
jaw|颌；下巴；狭窄入口；唠叨教训；对…唠叨i. 教训；唠叨|The jaw is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
jazz|爵士乐，爵士舞；喧闹i. 奏爵士乐，跳爵士舞；游荡奏爵士乐；使活泼爵士乐的；喧吵的|She bought a new jazz yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
jealous|妒忌的；猜疑的；唯恐失去的；戒备的|She felt jealous after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
jeans|牛仔裤；工装裤|This jeans helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
jeep|吉普车|This jeep helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
jet|喷射，喷嘴；喷气式飞机；黑玉墨黑的射出i. 射出； 乘喷气式飞机|The jet is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
jewel|宝石；珠宝镶以宝石；饰以珠宝|The jewel is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
job|工作；职业承包；代客买卖i. 做零工|This job helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
jog|慢跑；轻推；蹒跚行进；使颠簸i. 慢跑；轻推；蹒跚行进；颠簸着移动慢跑；轻推，轻撞|The jog is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
join|参加；结合；连接i. 加入；参加；结合结合；连接；接合点|She bought a new join yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
joint|关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉共同的；连接的；联合的，合办的连接，贴合；接合；使有接头i. 贴合；生节|This joint helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
joke|玩笑，笑话；笑柄开…的玩笑i. 开玩笑|She bought a new joke yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
journal|日报，杂志；日记；分类账|This journal helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
journalist|新闻工作者；报人；记日志者|She bought a new journalist yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
journey|旅行；行程i. 旅行|This journey helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
joy|欢乐，快乐；乐趣；高兴i. 欣喜，欢喜高兴，使快乐|This joy helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
judge|判断；审判法官；裁判员i. 审判；判决|She bought a new judge yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
judgment|判断；裁判；判决书；辨别力|This judgment helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
judgement|意见；判断力； 审判；评价|She bought a new judgement yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
juice|（水果）汁，液；果汁|The juice is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
jump|跳跃；暴涨；惊跳跳跃；使跳跃；跳过；突升i. 跳跃；暴涨；猛增|The jump is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
jungle|丛林，密林；危险地带丛林的；蛮荒的|She bought a new jungle yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
junior|年少的；后进的；下级的年少者，晚辈；地位较低者；大学三年级学生|She bought a new junior yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
jury|陪审团；评判委员会应急的|This jury helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
just|只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要公正的，合理的；正直的，正义的；正确的；公平的；应得的|She felt just after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
justice|司法，法律制裁；正义；法官，审判员|She bought a new justice yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
justify|i. 证明合法；整理版面证明…是正当的；替…辩护|Don't justifyed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
keen|敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的痛哭，挽歌|This keen helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
keep|保持；经营；遵守；饲养i. 保持；继续不断保持；生计；生活费|The keep is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
keeper|监护人；饲养员；看守人；管理人|The keeper is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
kettle|壶； 釜；罐；鼓|She bought a new kettle yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
key|（打字机等的）键；关键；钥匙键入；锁上；调节…的音调；提供线索i. 使用钥匙关键的|This key helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
keyboard|键盘键入；用键盘式排字机排字i. 用键盘进行操作；作键盘式排字机排字|This keyboard helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
kick|踢；反冲，朝后座踢；反冲，后座力i. 踢；反冲|This kick helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
kid|小孩；小山羊欺骗；取笑；戏弄i. 欺骗；取笑；戏弄小山羊皮制的；较年幼的|She bought a new kid yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
kidnap|绑架；诱拐；拐骗|He always kidnaps on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
kill|杀死；扼杀；使终止；抵消i. 杀死杀戮；屠杀致命的；致死的|She bought a new kill yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
kilogram|公斤；千克|The kilogram is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
kilometre|公里； 千米|She bought a new kilometre yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
kilometer|公里； 千米（等于kilometre）|This kilometer helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
kind|种类；性质和蔼的；宽容的；令人感激的|The kind is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
kindergarten|幼儿园；幼稚园|This kindergarten helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
kindly|亲切地；温和地；仁慈地亲切的；和蔼的；体贴的；爽快的|The movie was quite kindly.|联想记忆：结合语境多读多用！|Gaokao-Core
kindness|仁慈；好意；友好的行为|The kindness is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
king|国王；最有势力者；王棋i. 统治；做国王立…为王主要的，最重要的，最大的|She bought a new king yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
kingdom|王国；界；领域|She bought a new kingdom yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
kiss|吻；（风等）轻拂i. 接吻；（风等）轻触吻；轻拂|This kiss helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
kitchen|厨房；炊具；炊事人员|This kitchen helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
kite|风筝i. 使用空头支票；像风筝一样飞；轻快地移动骗钱；涂改（支票）|This kite helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
kitten|小猫；小动物i. 产小猫|This kitten helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
knee|膝盖，膝用膝盖碰|She bought a new knee yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
kneel|i. 跪下，跪|He always kneels on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
knife|刀；匕首用刀切；（口）伤害i. 劈开；划过|This knife helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
knock|i. 敲；打；敲击敲；打；敲击；批评敲；敲打；爆震声|The knock is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
know|知道；认识；懂得i. 了解；熟悉；确信|He always knows on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
knowledge|知识，学问；知道，认识；学科|The knowledge is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
knowledgeable|知识渊博的，有知识的；有见识的；聪明的|The movie was quite knowledgeable.|联想记忆：结合语境多读多用！|Gaokao-Core
lab|实验室，研究室|She bought a new lab yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
label|标注；贴标签于标签；商标；签条|She bought a new label yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
labor|劳动；工作；劳工；分娩i. 劳动；努力；苦干详细分析；使厌烦|This labor helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
labour|（英国）工党|This labour helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
lack|缺乏；不足；没有；需要i. 缺乏；不足；没有缺乏；不足|She bought a new lack yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
lady|女士，夫人；小姐；妻子|This lady helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
lake|湖；深红色颜料；胭脂红（使）血球溶解i. （使）血球溶解|This lake helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
lamb|羔羊，小羊；羔羊肉生小羊，产羔羊i. 生小羊，产羔羊|She bought a new lamb yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
lamp|灯；照射器照亮i. 发亮|The lamp is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
land|国土；陆地；地面使…登陆；使…陷于；将…卸下i. 登陆；到达|The land is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
landlord|房东，老板；地主|She bought a new landlord yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
landscape|风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式对…做景观美化，给…做园林美化；从事庭园设计i. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师|The landscape is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
lane|小巷； 航线；车道；罚球区|This lane helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
language|语言；语言文字；表达能力|She bought a new language yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
large|大的；多数的；广博的大大地；夸大地大|This large helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
laser|激光|The laser is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
last|末尾，最后；上个；鞋楦（做鞋的模型）最后的；最近的，最新的；仅剩的；最不可能…的i. 持续；维持，够用；持久度过，拖过；使维持最后地；上次，最近；最后一点|She bought a new last yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
late|晚的；迟的；已故的；最近的晚；迟；最近；在晚期|It was a very late day.|联想记忆：结合语境多读多用！|Gaokao-Core
lately|近来，不久前|They worked lately to meet the deadline.|联想记忆：结合语境多读多用！|Gaokao-Core
later|后来；稍后；随后更迟的；更后的|It was a very later day.|联想记忆：结合语境多读多用！|Gaokao-Core
latest|最迟地；最后地最新的事物最新的，最近的；最迟的，最后的|She bought a new latest yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
latter|后者的；近来的；后面的；较后的|It was a very latter day.|联想记忆：结合语境多读多用！|Gaokao-Core
laugh|笑；引人发笑的事或人i. 笑以笑表示；使…笑得|The laugh is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
laughter|笑；笑声|She bought a new laughter yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
launch|发射（导弹、火箭等）；发起，发动；使…下水i. 开始；下水；起飞发射；发行，投放市场；下水；汽艇|The launch is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
laundry|洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服|She bought a new laundry yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
lavatory|厕所，盥洗室|She bought a new lavatory yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
law|法律；规律；法治；法学；诉讼；司法界i. 起诉；控告控告；对…起诉|The law is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
lawn|草地；草坪|She bought a new lawn yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
lawyer|律师；法学家|The lawyer is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
lay|躺下；产卵；搁放；放置；铺放；涂，敷世俗的；外行的；没有经验的位置；短诗；花纹方向；叙事诗；性伙伴i. 下蛋；打赌躺；位于（lie的过去式）|This lay helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
layer|层，层次；膜；压条；放置者，计划者把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次i. 形成或分成层次；通过压条法而生根|The layer is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
lazy|懒惰的；懒洋洋的；怠惰的；慢吞吞的|It was a very lazy day.|联想记忆：结合语境多读多用！|Gaokao-Core
lead|领导；铅；导线；榜样领导；致使；引导；指挥i. 领导；导致；用水砣测深带头的；最重要的|She bought a new lead yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
leader|领导者；首领；指挥者|This leader helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
leadership|领导能力；领导阶层|This leadership helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
leaf|叶子；（书籍等的）一张；扇页i. 生叶；翻书页翻…的页，匆匆翻阅|She bought a new leaf yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
leaflet|小叶；传单|This leaflet helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
league|联盟；社团；范畴使…结盟；与…联合i. 团结；结盟|The league is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
leak|泄漏；漏洞，裂缝使渗漏，泄露i. 漏，渗；泄漏出去|This leak helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
lean|i. 倾斜；倚靠；倾向；依赖瘦的；贫乏的，歉收的使倾斜瘦肉；倾斜；倾斜度|The lean is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
leap|i. 跳，跳跃飞跃；跳跃跳跃，跳过；使跃过|She bought a new leap yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
learn|学习；得知；认识到i. 学习；获悉|He always learns on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
learned|博学的；有学问的；学术上的|It was a very learned day.|联想记忆：结合语境多读多用！|Gaokao-Core
learner|初学者，学习者|This learner helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
learning|学习；学问学习（learn的现在分词）|This learning helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
least|最小的；最少的（little的最高级）最小；最少最小；最少|This least helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
leather|皮革；皮革制品用皮革包盖；抽打皮的；皮革制的|This leather helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
leave|离开；留下；遗忘；委托i. 离开，出发；留下许可，同意；休假|The leave is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
lecture|演讲；讲稿；教训演讲；训诫i. 讲课；讲演|This lecture helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
lecturer|讲师，演讲者|This lecturer helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
left|左边的；左派的；剩下的在左面左边；左派；激进分子离开（leave的过去式）|She bought a new left yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
leg|腿；支柱|This leg helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
legal|法律的；合法的；法定的；依照法律的|It was a very legal day.|联想记忆：结合语境多读多用！|Gaokao-Core
leisure|闲暇；空闲；安逸空闲的；有闲的；业余的|This leisure helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
lemon|柠檬色的柠檬|The lemon is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
lend|贷；增添，提供；把……借给i. 贷款|He always lends on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
length|长度，长；时间的长短；（语）音长|The length is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
less|较少地；较小地；更小地较少的；较小的减去较少；较小|She bought a new less yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
lesson|教训；课教训；上课|The lesson is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
let|允许，让；出租；假设；妨碍i. 出租；被承包障碍；出租屋|This let helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
letter|信；字母，文字；证书；文学，学问；字面意义写字母于i. 写印刷体字母|The letter is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
level|水平；标准；水平面水平的；平坦的；同高的i. 瞄准；拉平；变得平坦使同等；对准；弄平|The level is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
liberate|解放；放出；释放|He always liberates on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
liberty|自由；许可；冒失|The liberty is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
librarian|图书馆员；图书管理员|This librarian helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
library|图书馆，藏书室；文库|The library is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
licence|许可证，执照；特许特许，许可；发给执照|This licence helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
license|执照，许可证；特许许可；特许；发许可证给|This license helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
lid|盖子；眼睑；限制给…盖盖子|The lid is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
lie|i. 躺；说谎；位于；展现谎骗谎言；位置|She bought a new lie yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
life|生活，生存；寿命|She bought a new life yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
lift|举起；提升；鼓舞；空运；抄袭i. 消散；升起；耸立电梯；举起；起重机；搭车|The lift is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
light|光；光线；灯；打火机；领悟；浅色；天窗轻的；浅色的；明亮的；轻松的；容易的；清淡的i. 点着；变亮；着火照亮；点燃；着火轻地；清楚地；轻便地|The light is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
light|光；光线；灯；打火机；领悟；浅色；天窗轻的；浅色的；明亮的；轻松的；容易的；清淡的i. 点着；变亮；着火照亮；点燃；着火轻地；清楚地；轻便地|The light is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
